Customer_id,Age,Gender,City,Country,Product_id,Product_category,Transaction_id,Transaction_date,Unit_price,Discount_percent,Quantity,Rating
2731,70,Male,Mumbai,India,1053,Outdoors,0ef5cc994d45e4642a954768875c8411b844,1/22/2022,$131.00,21,7,1
1416,87,Female,Sao Paulo,Brazil,1070,Garden,7aafd647205f918385943906a0528699d6b9,10/27/2022,$33.00,28,6,1
1578,52,Female,Sao Paulo,Brazil,1086,Industrial,a8d924c647682ab36e8343a7cf3ececfe646,10/29/2021,$150.00,26,3,3
118,18,Male,Johannesburg,South Africa,1171,Grocery,06a6d2696f366e0725805217e65a19f4ecf6,12/3/2020,$142.00,27,1,3
2188,90,Female,Paris,France,1185,Baby,b204e06bcf8a69aa8bf668cf8fb0c64b9428,6/22/2021,$42.00,6,7,5
346,45,Male,Delhi,India,1037,Books,e345f5f04be305c94c6390e1266bad531dd2,7/6/2023,$72.00,6,3,2
2336,18,Male,Melbourne,Australia,1179,Garden,7ec72ebc101de78b04088d2155a3ba534c5a,7/3/2022,$170.00,14,5,1
2729,39,Female,Dubai,United Arab Emirates,1123,Health,db7882ac3a02cb3b4e6af4e5d38d779b0b68,7/13/2020,$115.00,15,4,2
200,82,Male,Delhi,India,1092,Tools,e433018394eadac096f03d039074b198fdb2,10/3/2020,$96.00,1,2,3
2279,53,Female,Paris,France,1090,Jewelry,4ff0de0e27f02fb3c76df249ed965f51b3f1,4/9/2020,$129.00,16,5,5
203,84,Female,Shanghai,China,1182,Clothing,3fe4897893326716fb576986a00c8f81d599,6/30/2020,$61.00,3,5,3
1344,18,Female,Rio de Janeiro,Brazil,1039,Electronics,9b703f27c682872a496603793e166e8adb60,9/22/2021,$195.00,6,1,2
2195,88,Male,Sao Paulo,Brazil,1144,Baby,c163918c7eee8ae3764fa6b34bf8eb964089,3/18/2020,$188.00,3,1,2
1138,79,Female,Rio de Janeiro,Brazil,1022,Shoes,ad269f62667f192ddfd6b9a7e70dc0aa8ba9,11/25/2020,$78.00,28,7,1
130,74,Female,Los Angeles,United States,1180,Sports,c0e6be9f0249777305c0480708ab968ccf85,5/26/2023,$11.00,12,3,5
2854,79,Female,Melbourne,Australia,1139,Movies,2ce6f59fcb91096d4ce0b922c632af479e97,9/4/2022,$132.00,14,3,3
1072,23,Female,Mexico City,Mexico,1123,Garden,0b5140ad311cd29aa4ec215d1900c0f5fc8b,2/1/2022,$115.00,1,2,1
1295,49,Male,Shanghai,China,1062,Books,69d5714dec19f5837dcdbe74127933de6226,4/12/2023,$66.00,23,3,4
2303,58,Female,Paris,France,1071,Toys,bfd73ceec888cdf9f8344f3bac4a7bb1c71d,1/4/2021,$102.00,28,5,2
558,42,Male,Delhi,India,1101,Shoes,ca262815ef22be48102dde971f7d389ad820,3/9/2022,$103.00,20,6,1
874,26,Female,Delhi,India,1173,Computers,d77be38821f94d4b900608b7b8127764d7aa,9/24/2021,$163.00,10,4,3
772,38,Male,Berlin,Germany,1198,Outdoors,59295d39f716b408e6a031a2269b3c78a70b,2/17/2021,$165.00,9,7,4
2388,73,Male,Dubai,United Arab Emirates,1145,Electronics,4e62e6333a64f9bf45d5eea23d7e28b93a6b,7/11/2022,$123.00,14,3,3
565,48,Female,Sao Paulo,Brazil,1098,Health,046a810b6e0059e0115d5d607c893306384f,12/9/2021,$83.00,3,7,1
1131,88,Female,Melbourne,Australia,1037,Baby,dfc275a4338fa6bb9aedbcb7f478074a1d86,10/9/2020,$72.00,2,6,4
475,31,Male,Rio de Janeiro,Brazil,1118,Jewelry,cea71d58b8c99e2b54b1d00934cdd3aedcee,11/12/2022,$41.00,17,6,4
1106,20,Female,Los Angeles,United States,1080,Grocery,d355d1f753dd643177ead334de9d7bbd6dc3,6/12/2020,$135.00,15,2,3
2183,23,Female,Singapore,Singapore,1192,Beauty,567efa71742b71d02b72338fb5fb02eb63c6,3/19/2021,$23.00,13,2,4
441,35,Female,London,United Kingdom,1166,Kids,70821095bb5b0f4c49646120c10dd36bc647,4/14/2021,$118.00,18,6,4
1958,69,Male,Melbourne,Australia,1082,Games,6c5d94cffda7f584fc6c5016a0181fbb2b8b,8/25/2022,$83.00,15,4,3
1333,66,Female,Sao Paulo,Brazil,1156,Sports,f43a5e6bfbefec3edbd5a702e2850d443542,7/2/2020,$15.00,16,2,3
879,77,Male,New York,United States,1117,Music,088b72884a95aeffd8cce1a71352d4338212,10/3/2023,$47.00,28,2,4
1856,45,Female,Rio de Janeiro,Brazil,1121,Kids,2d38d82891b867d2af67d932a9ffd656d500,9/20/2023,$27.00,28,5,2
2444,74,Female,Mumbai,India,1038,Electronics,023b6c4ce91f8d8a43558826d2fdc6f0bad0,11/13/2020,$51.00,30,1,2
2427,51,Male,Sydney,Australia,1146,Movies,b24aef0bc08e0c2abeec7f5e904750c01522,10/18/2023,$126.00,6,1,1
1878,36,Male,Singapore,Singapore,1060,Kids,c567b510c64503bc1ca50e4ba025d23d9ed8,1/12/2022,$64.00,20,3,3
692,63,Female,Melbourne,Australia,1197,Games,82f319726f40cd3784231784d73b0cfbe30f,8/30/2022,$195.00,13,4,5
2695,52,Male,Singapore,Singapore,1190,Garden,a33c050147e0bd476473c29c84f9b89a78af,6/3/2020,$109.00,13,1,4
2788,73,Male,New York,United States,1049,Sports,2e771a1378ad7938ad45744a9859700bf315,2/2/2022,$71.00,4,3,5
2181,33,Female,Melbourne,Australia,1107,Outdoors,3bcda3791e321d23b748651a53de6c44a3e1,7/26/2020,$130.00,2,2,1
2543,25,Female,Berlin,Germany,1167,Toys,664725d08ce21a9dccf720157d9b38f1d279,12/31/2021,$96.00,4,1,2
434,26,Male,Shanghai,China,1128,Electronics,b92c06ca6ec82c6da66a7025aa76935c852f,2/12/2021,$126.00,12,2,5
475,31,Male,Rio de Janeiro,Brazil,1018,Clothing,2ff948645c1d48da75fc88a843a13e9cd9f6,7/9/2021,$87.00,16,2,2
2755,52,Female,Sydney,Australia,1130,Grocery,4b71825b773ab70975ca97f805f0c6243d60,12/11/2021,$48.00,8,4,1
2537,44,Male,Sao Paulo,Brazil,1001,Jewelry,49685f53235e4f2e48468cc4b45e7d2404f4,7/9/2021,$116.00,1,3,5
1829,45,Male,Shanghai,China,1017,Movies,4b225d839562a88f9e370f39565ba7c09034,5/5/2023,$85.00,18,3,4
1386,71,Male,Los Angeles,United States,1059,Health,fd30b8300eb69cebf6f380cf028a3dae34c3,10/4/2023,$56.00,25,3,4
155,47,Male,Tokyo,Japan,1157,Health,148f152240849a1fcb654b20f2e770c6bd2b,11/25/2021,$120.00,16,5,4
2529,20,Male,Dubai,United Arab Emirates,1195,Jewelry,d47307bf580a76f8963cfd59e96aa9ccf215,5/17/2021,$32.00,5,3,3
138,24,Female,Mexico City,Mexico,1067,Industrial,5949d18c382822b47d56064b5d7ad800ace3,6/6/2023,$95.00,10,4,5
1730,63,Male,Berlin,Germany,1054,Clothing,f5e3e4cc328015c368b55dab9e51602c6f44,11/22/2023,$128.00,2,1,2
2055,28,Female,Dubai,United Arab Emirates,1115,Health,d61bff98c73bcb56864388d2ac261c0c807f,2/5/2022,$71.00,12,5,2
891,17,Male,Melbourne,Australia,1089,Grocery,aebcc6ef4aababa81e4a7e3fce96a69e79e2,12/24/2023,$63.00,27,4,4
1400,74,Female,Melbourne,Australia,1076,Movies,236fcec540961744b47e65f97fcd91001119,7/31/2023,$64.00,23,4,2
1505,75,Male,Mexico City,Mexico,1029,Tools,5ec379ff187dd082667f6f337a17a91cb3ed,2/11/2021,$138.00,24,5,1
2623,68,Female,Berlin,Germany,1105,Garden,31926225cded0c63f439875caa0648b418a3,10/29/2023,$45.00,9,6,1
1896,63,Female,Shanghai,China,1195,Computers,b876403e6f50b9fb3b9673481babeab692b0,1/9/2023,$32.00,0,6,1
333,79,Male,Rio de Janeiro,Brazil,1162,Games,b248d655e9b610116b62927e7cb00577a143,12/5/2022,$17.00,16,6,5
1050,74,Female,Sao Paulo,Brazil,1067,Books,48d5a6f92048d5a7ebfb517e6a0bb96f681f,1/19/2021,$95.00,24,5,4
2433,27,Male,Dubai,United Arab Emirates,1136,Tools,757eaa9a0de631162c717a505fced785504d,4/12/2020,$129.00,23,6,2
800,68,Male,Singapore,Singapore,1115,Jewelry,97bd7eecaadb60d598c4480e8e5d0747dc3c,7/15/2022,$71.00,23,5,3
1736,30,Female,Singapore,Singapore,1121,Books,2cfdb2528f2600843b9743f1b4d0aa16cc32,9/26/2021,$27.00,6,1,5
2164,53,Female,Los Angeles,United States,1016,Tools,5787bec200dd59887488c237faacc67e9c3e,10/6/2022,$141.00,3,4,5
2519,32,Female,Mexico City,Mexico,1147,Automotive,e8efaf92914f92d77e1214e0f0c81093e2ea,6/10/2021,$103.00,9,4,5
1202,76,Male,Shanghai,China,1161,Books,0cf1e11ecf60583fafb461f1f390b8002875,7/31/2020,$30.00,2,5,3
1226,50,Male,Mexico City,Mexico,1067,Health,d0c1922866d06f600aad5691eb8fdee842ca,9/4/2020,$95.00,1,4,2
1106,20,Female,Los Angeles,United States,1179,Music,d291b4e9ce8b52d6f8b0f0832c44211c186f,6/5/2023,$170.00,18,3,3
950,59,Male,Delhi,India,1195,Games,0cccf3821ab570802edba4330ec24def631c,1/19/2021,$32.00,8,5,2
175,26,Female,Delhi,India,1181,Music,f4329552d7b263391c049f87f4c2c3a11385,1/4/2021,$115.00,17,1,5
1187,90,Female,Tokyo,Japan,1169,Movies,0eda15d72c4dd9fbf6e014e2c0357340e4ef,4/18/2020,$136.00,16,7,5
1281,75,Male,Los Angeles,United States,1157,Electronics,06de43e29672286658e5ccae8bae0034eb01,6/18/2023,$120.00,21,6,3
2555,17,Female,London,United Kingdom,1013,Automotive,220df4abd92b46f36734d27cc590a874a416,10/19/2023,$51.00,2,6,3
2060,46,Male,New York,United States,1080,Garden,8b11a629acf0cc7ce3c99d31bb3c0383748f,12/13/2023,$135.00,13,1,1
1325,17,Male,Paris,France,1031,Books,1f6441c3e1a09a4540c893547857134286af,10/28/2023,$72.00,6,1,3
2236,49,Male,Los Angeles,United States,1181,Books,48c4acd72a419777f630d2c23c17ed1896b9,2/11/2021,$115.00,16,6,1
2189,86,Female,Dubai,United Arab Emirates,1023,Beauty,71359de9abebb269650a6814e741fe62caef,5/2/2023,$123.00,11,2,1
2259,49,Male,Toronto,Canada,1198,Automotive,62948155c93d4e7ace4634496e3e29912e18,12/5/2020,$165.00,1,4,1
483,51,Female,London,United Kingdom,1176,Clothing,bf10c30eca2d1ab8114b6faa4be9cceb6359,7/4/2023,$161.00,29,4,2
331,78,Female,Sao Paulo,Brazil,1096,Sports,a649bd1e7d8ee1cf60ff12ad3038bc329b61,11/3/2023,$180.00,4,7,1
1452,77,Male,Delhi,India,1046,Jewelry,31b0b4493d4c986264e2bb0c51758b33e3cb,4/18/2022,$78.00,15,2,3
2657,73,Female,London,United Kingdom,1151,Toys,07407409aa8e7f903efe87ced47f73a666d1,10/15/2021,$37.00,28,6,2
2664,52,Female,London,United Kingdom,1087,Computers,c37c8070862fa25c2334ae300b793797a403,5/25/2023,$181.00,1,4,1
497,57,Male,Delhi,India,1076,Garden,e1113270c4c5ed1eb5637aaef04f0be92f7b,11/16/2020,$64.00,12,7,5
884,29,Female,Paris,France,1119,Games,f359e27b2b3b915e972cc21f370e87a3569b,9/4/2021,$117.00,13,6,1
2211,77,Male,Singapore,Singapore,1077,Tools,fd5ba97ddc0a195bbc7a3450171dcab5d460,6/13/2020,$81.00,12,5,3
1694,25,Male,Toronto,Canada,1144,Books,e6fc168067ad81f27db94a40ab84c5f3a8e1,8/25/2022,$188.00,28,5,3
1421,29,Female,Rio de Janeiro,Brazil,1158,Beauty,cda397c2f5eaa23bf8dc3d160b33f4152664,3/19/2023,$46.00,2,4,2
727,63,Male,Tokyo,Japan,1168,Music,f771d020d24b2d4f67558920ec1557ce1a22,6/8/2023,$153.00,5,2,2
1536,80,Male,Lagos,Nigeria,1184,Outdoors,40bcec49855ad37cb69e003cc86979ad381f,11/2/2023,$62.00,1,4,4
2837,60,Male,Rio de Janeiro,Brazil,1133,Electronics,08f0f4fd0f80a0fb0c7833a1e56fb6b19607,9/3/2023,$199.00,10,2,3
933,60,Female,Shanghai,China,1033,Games,eed0a56262fc2a9fac02980a56a333f1be72,5/18/2022,$63.00,29,1,4
2296,31,Male,Rio de Janeiro,Brazil,1015,Books,f460fc98247bf40cfd4360588f2c3ec54e33,10/20/2023,$98.00,3,2,5
305,29,Male,Johannesburg,South Africa,1092,Computers,1a5359809e30f41e26647cb0252b75c1b2f0,11/6/2023,$96.00,5,1,5
2341,67,Male,Delhi,India,1014,Music,10c86a0a16d6f0025714fa20baf76aeaad56,4/21/2023,$159.00,6,5,5
766,27,Female,Melbourne,Australia,1089,Games,0bf6fc3f62d8ddd045adb8317bc562090d0c,8/1/2022,$63.00,30,3,1
2930,35,Female,Mumbai,India,1143,Toys,63bc4f219c7b58ecce74fed7f33442893c85,5/19/2021,$64.00,18,1,4
1169,70,Female,Paris,France,1038,Garden,c439a8ba625ac2c5062d894d092a99bd10df,5/22/2020,$51.00,25,4,5
1856,45,Female,Rio de Janeiro,Brazil,1187,Industrial,d45a7aef1926a83fa3f51a8c6d4554926844,11/17/2023,$80.00,3,2,5
467,35,Male,Singapore,Singapore,1010,Sports,b170b34ce0d8efdb169e5580620b7b350de9,8/25/2023,$101.00,23,3,5
927,79,Male,New York,United States,1174,Computers,2d70150a17dfce5ef522fcf28ba1b6266930,1/15/2020,$152.00,12,7,4
1675,86,Female,Singapore,Singapore,1104,Music,9a4ee17abf38453fe0863173d4d9b6084ca3,5/31/2022,$162.00,6,6,5
2504,49,Male,Berlin,Germany,1114,Clothing,da7cfaef937187b9b71a02b94fab4f365910,2/15/2021,$16.00,21,6,4
1310,18,Male,Toronto,Canada,1183,Kids,ea599c703d0bad91da7947dac35ca855098c,10/24/2020,$116.00,28,5,2
1342,56,Female,Singapore,Singapore,1056,Tools,ad80efe1ebabe6e2a5b6f10b099fa55c260c,12/1/2023,$15.00,2,6,1
558,42,Male,Delhi,India,1147,Books,6fe384841d4471c9250c73232f0f308f6c94,10/18/2020,$103.00,5,6,4
2674,29,Female,Melbourne,Australia,1022,Kids,df156af6fc06030fe62293984c8b686f3efa,5/4/2023,$78.00,15,1,3
2454,89,Female,Shanghai,China,1079,Books,e58aff3774caa92171f6eef43bb64bf509d4,7/25/2021,$197.00,8,5,5
1124,40,Female,London,United Kingdom,1079,Outdoors,3d0078e9b4e763ef44601a8514f936442ae6,10/30/2023,$197.00,5,3,4
1072,23,Female,Mexico City,Mexico,1067,Jewelry,b1d63820d5a61adb756ad13998ad8610a43b,10/3/2020,$95.00,6,2,2
290,39,Male,Paris,France,1002,Baby,1a3cd6294d3029c050a768c3eb1d17971bd0,3/29/2021,$177.00,28,1,2
1851,87,Female,Toronto,Canada,1173,Music,02dbe868f05eefe92caa8977072edb631766,1/8/2021,$163.00,3,7,2
1116,42,Female,Mexico City,Mexico,1152,Shoes,1f6574415200e97eef1518dd3cdf6f4ddf08,1/9/2022,$21.00,7,1,1
1577,80,Male,Mexico City,Mexico,1092,Health,6d6afd35451badfa6005bdeafcb16a054fd9,3/26/2020,$96.00,12,7,3
1015,73,Male,Mexico City,Mexico,1122,Baby,58313beeb4ca4cf220ae40767b1725de30a2,4/24/2022,$32.00,12,4,2
1740,17,Female,Singapore,Singapore,1038,Baby,70ca3aa4ff31dc776895cd5a5f359295d3df,6/28/2021,$51.00,15,2,2
1417,46,Female,Melbourne,Australia,1160,Home,ef3e4717045df65c6217feedeb4cb2654e6e,2/25/2022,$186.00,11,3,1
2179,26,Female,Dubai,United Arab Emirates,1082,Movies,053d34ac88a46f030e5aa4264a93203b3324,11/4/2020,$83.00,15,5,3
855,49,Male,Singapore,Singapore,1030,Toys,352990212768587208fbc68b356791275523,9/4/2022,$95.00,5,7,1
2212,79,Male,Dubai,United Arab Emirates,1171,Kids,74c6f6603fbcd536cdf7a8fb8f73813b332d,7/1/2020,$142.00,16,1,4
1036,82,Male,Melbourne,Australia,1158,Health,a23d3ebe7273efa49b5eb5e3f5367158f7ee,12/3/2023,$46.00,8,7,1
1857,65,Male,Mexico City,Mexico,1062,Automotive,5e60c7e64d3168d35e994c0d8c7491304f02,5/9/2022,$66.00,26,7,2
2694,90,Female,Mexico City,Mexico,1070,Automotive,b09535e7db791a52e4352e5c88434de8b2bb,4/2/2022,$33.00,17,7,5
2673,51,Male,Berlin,Germany,1030,Shoes,7218e9abac75972fd32e1c400c4ad859cf6b,8/17/2023,$95.00,17,7,2
